file,ref,name
./data/work-in-progress/45_15/kasten_blau_45_15_0146.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0148.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0152.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0154.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0156.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0158.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0160.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0161.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0164.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0167.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0171.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0173.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0174.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0177.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0178.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0180.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0186.xml,#,o.O.
./data/work-in-progress/45_15/kasten_blau_45_15_0187.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0191.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0192.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0195.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0196.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0197.xml,#emt_place_id__63,Wien
./data/work-in-progress/45_15/kasten_blau_45_15_0198.xml,#emt_place_id__63,Wien
